"ID","GENDER","MARITALSTATUS","NUMCHILDREN","ESTINCOME","AGE","MONTHSASCUSTOMER","LOYALTYSCHEME","LASTBILLAMOUNT","AVGMONTHLYSPEND","TOTALSPEND","SUPPORTCALLSYEAR","COMPLAINTSYEAR","COMPLAINTSMONTH","CHURN"
"10067","F","Single","0","90279","19","5","Y","102.91","102.91","514.55","3","2","1","F"
"10068","M","Single","2","68112","20","30","Y","84.4","84.81","2544.3","2","0","0","F"
"1007","M","Married","0","16399","28","25","N","111.56","111.56","2789.0","0","2","1","F"
"10070","F","Single","0","93320","23","8","N","48.07","48.07","384.56","17","2","1","T"
"10073","M","Single","0","519599","28","41","N","134.8","136.31","5588.71","0","0","0","F"
"10076","F","Married","0","91391","73","112","N","146.43","147.74","16546.88","11","0","0","T"
"10078","M","Single","1","6827","18","3","N","49.29","49.29","147.87","3","0","0","F"
"10079","M","Single","0","89246","29","105","Y","67.63","67.89","7128.45","4","0","0","F"
"1008","F","Married","1","25227","44","15","N","124.01","125.33","1879.95","0","0","0","F"
"10081","M","Married","0","15018","42","7","N","178.06","178.22","1247.54","1","7","5","T"
"10083","M","Married","0","24463","53","44","N","170.17","171.53","7547.32","28","2","1","T"
"10085","F","Single","0","57505","26","35","N","119.5","119.85","4194.75","10","0","0","F"
"1009","M","Married","0","67032","52","26","N","147.58","149.45","3885.7","2","0","0","F"
"10093","F","Single","1","60885","22","7","Y","107.91","116.32","814.24","11","6","3","T"
"10096","F","Single","2","823839","24","67","Y","82.4","82.81","5548.27","1","2","1","F"
"10097","F","Married","0","39602","33","80","N","115.29","115.29","9223.2","4","0","0","F"
"10098","M","Married","0","36458","54","64","N","147.13","147.36","9431.04","0","6","4","T"
"10102","M","Single","1","16169","30","118","Y","82.96","82.96","9789.279999999999","0","0","0","F"
"10103","M","Single","0","890709","28","21","N","42.2","42.51","892.7099999999999","6","0","0","F"
"10105","M","Single","0","4725","19","8","Y","60.12","60.12","480.96","1","4","2","T"
"10110","M","Married","3","68769","43","10","N","178.72","178.72","1787.2","4","3","2","T"
"10111","M","Married","0","71755","51","107","N","88.14","88.14","9430.98","3","0","0","F"
"10114","F","Single","5","12029","28","53","N","41.19","41.19","2183.0699999999997","12","4","2","F"
"10115","M","Single","0","5484","30","21","Y","107.12","107.38","2254.98","0","3","2","T"
"10116","M","Single","0","900","21","23","Y","104.36","104.36","2400.28","0","2","1","F"
"10120","M","Married","2","57756","24","40","N","145.0","145.0","5800.0","0","0","0","F"
"10123","F","Single","1","501668","19","20","Y","89.67","89.67","1793.4","4","0","0","F"
"10124","M","Single","1","725913","90","42","N","42.31","43.43","1824.06","3","2","1","F"
"10131","F","Married","0","42083","31","120","N","85.16","85.48","10257.6","0","7","4","T"
"10136","M","Married","0","15003","77","69","N","141.61","142.23","9813.869999999999","3","0","0","F"
"10138","M","Single","0","335398","18","10","N","48.06","53.22","532.2","67","3","2","T"
"10139","F","Single","2","47789","24","59","Y","103.71","103.98","6134.820000000001","0","2","1","F"
"1014","F","Married","0","16453","59","6","N","125.19","125.19","751.14","3","2","1","F"
"10142","F","Married","0","68354","51","28","N","174.4","174.4","4883.2","3","2","1","F"
"10143","F","Married","0","51736","65","37","N","123.65","123.99","4587.63","0","0","0","F"
"10149","F","Married","0","3110","52","64","N","143.11","143.67","9194.88","0","0","0","F"
"1015","F","Married","1","47436","32","37","N","123.52","124.45","4604.650000000001","2","0","0","F"
"10150","M","Married","0","163700","54","96","N","89.59","89.92","8632.32","1","0","0","F"
"10151","F","Married","1","3829","48","73","N","129.06","129.42","9447.66","3","2","1","F"
"10153","M","Married","1","77160","30","61","N","118.53","119.39","7282.79","0","4","2","T"
"10154","F","Single","0","34875","27","38","N","48.72","48.92","1858.96","4","2","1","F"
"10160","F","Single","0","65137","21","34","Y","69.02","69.23","2353.82","8","0","0","F"
"10162","F","Married","0","29557","46","68","N","82.39","83.5","5678.0","0","1","0","F"
"10164","F","Married","0","82016","37","71","N","184.3","185.78","13190.38","1","0","0","T"
"10167","M","Married","0","12400","27","12","N","114.42","115.38","1384.56","13","0","0","T"
"10169","F","Single","0","46980","26","37","N","41.58","43.52","1610.24","6","0","0","F"
"1017","M","Married","0","26042","44","8","N","121.5","121.5","972.0","0","0","0","F"
"10170","F","Married","0","92104","52","51","N","80.3","81.09","4135.59","0","0","0","F"
"10176","M","Single","0","97879","23","8","Y","104.05","104.18","833.44","0","2","1","T"
"10179","M","Single","1","80366","18","10","Y","89.56","89.56","895.6","0","0","0","F"
"1018","M","Single","0","78995","30","26","Y","86.77","86.77","2256.02","0","5","3","T"
"10181","F","Single","1","906604","30","117","Y","107.89","109.22","12778.74","3","8","4","T"
"10183","M","Married","0","51667","53","75","N","143.13","143.13","10734.75","0","0","0","F"
"10186","M","Single","2","22791","18","9","Y","103.62","105.42","948.78","0","2","1","F"
"10188","M","Married","1","21544","23","24","N","175.35","175.35","4208.4","0","9","5","T"
"10191","M","Married","0","29670","30","18","N","149.33","151.24","2722.32","6","0","0","F"
"10192","F","Single","1","21791","29","48","Y","106.76","107.65","5167.200000000001","14","3","2","T"
"10193","F","Married","1","28632","27","50","N","80.58","80.83","4041.5","2","4","2","T"
"10194","M","Single","1","87197","97","107","Y","80.15","80.15","8576.050000000001","10","0","0","F"
"10195","M","Single","1","20873","22","43","N","46.77","46.94","2018.4199999999998","0","2","1","F"
"10203","M","Single","0","50234","75","48","Y","68.62","68.84","3304.32","8","0","0","F"
"10204","M","Single","0","706689","19","20","Y","65.62","65.62","1312.4","32","0","0","T"
"10207","F","Married","2","32459","31","13","N","112.25","113.55","1476.1499999999999","0","0","0","F"
"10208","M","Married","0","76963","49","84","N","178.98","180.58","15168.720000000001","4","3","2","T"
"10214","M","Married","0","42365","35","8","N","148.49","148.49","1187.92","0","0","0","F"
"10216","F","Single","0","35585","24","38","Y","81.91","82.02","3116.7599999999998","18","2","1","T"
"10218","M","Single","1","865654","22","31","Y","82.6","82.6","2560.6","0","2","1","T"
"1022","M","Married","0","30339","42","15","N","173.41","173.41","2601.15","10","2","1","F"
"10221","F","Married","2","42556","36","53","N","118.74","120.15","6367.950000000001","20","0","0","T"
"10225","M","Single","0","90226","21","14","Y","85.12","88.88","1244.32","0","2","1","T"
"10226","F","Married","0","71618","71","82","N","177.5","178.15","14608.300000000001","4","4","2","T"
"10228","F","Single","0","617965","23","59","Y","104.16","104.26","6151.34","3","2","1","T"
"1023","F","Single","0","70141","29","85","N","46.89","46.89","3985.65","2","0","0","F"
"10230","F","Single","0","58193","24","35","N","47.14","47.14","1649.9","11","0","0","T"
"10233","F","Single","0","31068","19","2","Y","106.99","114.21","228.42","10","2","1","F"
"10234","M","Married","4","72610","51","39","N","110.17","110.6","4313.4","0","0","0","F"
"10236","M","Single","0","43660","23","33","Y","69.38","70.57","2328.81","2","0","0","F"
"10237","F","Married","0","63781","51","52","N","119.75","119.75","6227.0","4","0","0","F"
"10238","M","Married","2","325676","27","70","N","130.3","131.68","9217.6","6","0","0","F"
"10239","F","Single","0","927009","22","25","Y","105.41","105.63","2640.75","1","2","1","T"
"10242","F","Married","0","17020","37","89","N","127.86","127.86","11379.539999999999","0","0","0","F"
"10244","F","Single","1","48331","24","46","N","42.51","43.13","1983.98","3","0","0","F"
"10245","M","Single","0","92912","20","6","Y","61.4","61.4","368.4","1","0","0","F"
"10247","F","Married","1","53005","44","5","N","85.33","85.33","426.65","8","0","0","F"
"10248","F","Single","0","6294","24","69","N","46.12","46.69","3221.6099999999997","0","2","1","F"
"1025","F","Single","1","8360","24","20","N","46.93","49.24","984.8000000000001","4","2","1","F"
"10251","F","Single","0","78835","27","22","N","43.9","44.19","972.18","22","2","1","T"
"10257","F","Single","0","72656","65","16","N","42.97","45.26","724.16","0","0","0","F"
"10259","M","Married","1","38067","52","25","N","171.69","172.55","4313.75","2","8","4","F"
"10260","M","Single","1","82933","24","38","N","47.06","47.06","1788.2800000000002","6","0","0","F"
"10261","M","Single","1","920054","22","19","Y","87.73","90.62","1721.7800000000002","4","0","0","F"
"10263","M","Married","0","674430","54","37","N","111.39","112.82","4174.34","0","0","0","F"
"10265","F","Single","0","18385","27","106","Y","83.97","83.97","8900.82","20","2","1","T"
"10266","F","Single","0","75575","29","39","N","42.36","42.36","1652.04","1","0","0","F"
"10268","F","Married","0","70076","54","74","N","110.98","110.98","8212.52","0","2","1","T"
"1027","M","Single","3","15051","48","85","Y","64.61","64.92","5518.2","4","2","1","F"
"10270","M","Single","0","81917","84","84","Y","60.87","61.79","5190.36","7","0","0","F"
"10271","M","Single","1","519248","22","58","Y","108.08","108.77","6308.66","0","0","0","F"
"10272","M","Single","0","58690","23","12","Y","105.71","105.71","1268.52","0","2","1","F"
"10273","M","Single","2","62305","29","5","Y","68.87","68.87","344.35","4","2","1","T"
"10282","F","Married","0","87310","35","31","N","87.13","87.13","2701.0299999999997","3","0","0","F"
"10283","F","Married","0","56184","50","89","N","121.24","121.38","10802.82","0","0","0","F"
"10284","M","Married","0","98709","46","114","N","140.67","141.67","16150.38","1","0","0","F"
"10285","M","Single","2","82747","28","84","Y","146.2","146.2","12280.8","0","0","0","F"
"10288","F","Married","4","26379","32","38","N","142.92","143.51","5453.379999999999","1","2","1","F"
"10289","F","Married","2","46953","40","94","N","84.92","85.34","8021.96","0","1","0","F"
"1029","M","Single","0","41046","19","17","Y","100.76","101.06","1718.02","0","0","0","F"
"10293","M","Single","1","33261","19","15","Y","86.77","87.06","1305.9","4","2","1","F"
"10294","M","Single","1","75084","52","44","Y","86.35","86.55","3808.2","0","0","0","F"
"10295","M","Married","2","503983","29","74","N","149.04","149.55","11066.7","4","2","1","F"
"10296","F","Married","0","9542","25","72","N","172.37","172.37","12410.64","0","2","1","F"
"10297","M","Single","0","13222","81","14","Y","105.96","107.16","1500.24","6","2","1","F"
"10298","F","Married","1","56556","62","14","N","175.34","175.68","2459.52","4","3","2","T"
"10301","F","Married","1","82275","38","1","N","126.1","151.23","151.23","5","0","0","F"
"10302","M","Married","0","82016","42","25","N","179.91","181.06","4526.5","0","0","0","F"
"10303","F","Married","1","51993","36","71","N","112.34","112.34","7976.14","10","2","1","F"
"10304","M","Married","0","275111","66","33","N","147.52","148.64","4905.12","2","0","0","T"
"10309","M","Married","0","95372","36","4","N","88.06","94.29","377.16","0","3","2","T"
"10311","M","Single","0","33130","30","62","N","41.93","41.97","2602.14","15","2","1","T"
"10312","F","Married","7","63385","46","55","N","147.3","147.3","8101.500000000001","3","4","2","T"
"10313","F","Single","0","93684","21","36","N","42.96","42.96","1546.56","10","0","0","F"
"10315","F","Single","1","31511","18","7","Y","85.68","89.32","625.24","10","1","0","F"
"10318","F","Single","1","97913","29","113","N","49.05","49.25","5565.25","2","10","5","T"
"10319","M","Married","2","80076","49","100","N","123.98","124.02","12402.0","1","0","0","F"
"1032","F","Married","2","10360","37","53","N","113.56","114.66","6076.98","0","2","1","F"
"10320","M","Single","0","79617","19","2","Y","88.07","91.09","182.18","0","1","0","F"
"10322","F","Married","0","44665","51","115","N","147.76","147.76","16992.399999999998","0","0","0","F"
"10325","F","Married","2","93286","31","59","N","116.66","117.06","6906.54","0","0","0","F"
"10328","F","Married","0","10161","24","81","N","83.26","84.05","6808.05","0","2","1","F"
"10329","M","Married","0","946731","52","34","N","173.73","173.73","5906.82","2","0","0","F"
"1033","F","Single","0","35474","20","5","Y","102.21","102.21","511.04999999999995","0","3","2","T"
"10331","M","Single","0","28108","29","38","N","47.39","47.77","1815.2600000000002","22","2","1","T"
"10333","M","Married","2","584606","38","2","N","142.79","150.53","301.06","1","0","0","F"
"10334","M","Single","1","55517","27","119","Y","110.2","110.67","13169.73","0","2","1","F"
"10339","M","Married","2","27748","51","21","N","144.87","145.91","3064.11","3","2","1","F"
"10343","M","Single","0","49125","19","15","Y","84.31","86.99","1304.85","3","0","0","F"
"10344","M","Married","2","67496","37","88","N","84.63","85.41","7516.08","0","2","1","T"
"10345","M","Married","0","321632","52","20","N","146.52","148.18","2963.6000000000004","2","0","0","F"
"10346","M","Married","0","23741","25","93","N","176.36","177.88","16542.84","2","4","3","T"
"10349","M","Single","2","37633","20","16","Y","65.62","65.69","1051.04","3","4","2","T"
"10355","F","Single","0","1505","21","31","Y","83.38","83.52","2589.12","10","3","2","T"
"10356","F","Single","2","93796","19","13","N","47.24","47.84","621.9200000000001","1","0","0","F"
"10359","F","Single","1","79886","20","4","Y","105.22","105.22","420.88","3","1","0","F"
"1036","F","Single","1","16748","26","97","Y","61.65","62.69","6080.929999999999","2","0","0","F"
"10361","M","Single","0","70464","18","9","Y","87.49","87.49","787.41","1","0","0","F"
"10363","F","Single","2","639646","24","45","Y","69.0","69.0","3105.0","18","2","1","T"
"10364","F","Married","2","270371","27","31","N","142.79","144.38","4475.78","0","1","0","F"
"10365","M","Single","1","21234","21","1","Y","60.17","60.17","60.17","6","3","2","T"
"10367","M","Single","0","69865","22","17","Y","155.1","158.2","2689.3999999999996","0","1","0","F"
"10368","M","Married","1","537958","27","9","N","145.79","145.79","1312.11","0","0","0","F"
"1037","F","Married","0","823424","73","41","N","142.78","143.31","5875.71","0","0","0","F"
"10371","M","Single","1","74570","23","50","N","48.4","48.78","2439.0","20","0","0","T"
"10372","F","Single","0","67849","26","81","N","86.2","87.34","7074.54","13","4","2","T"
"10374","F","Married","2","36184","35","91","N","175.6","175.6","15979.6","1","0","0","F"
"10375","F","Married","0","14458","54","71","N","211.7","212.45","15083.949999999999","3","0","0","F"
"10376","F","Married","0","36814","35","72","N","171.61","172.33","12407.76","0","2","0","F"
"10377","M","Single","0","81304","30","84","Y","89.23","89.91","7552.44","0","0","0","F"
"10380","M","Married","0","90978","40","52","N","110.73","111.16","5780.32","11","0","0","T"
"10382","M","Single","1","66375","29","85","Y","62.03","62.49","5311.650000000001","0","2","1","T"
"10383","F","Single","0","86015","62","102","Y","104.27","105.24","10734.48","4","2","1","T"
"10387","F","Married","2","82769","52","81","N","126.45","127.37","10316.970000000001","2","2","1","F"
"10391","M","Married","0","16898","83","114","N","141.63","141.93","16180.02","7","4","2","T"
"10395","M","Married","0","90471","38","1","N","119.88","119.88","119.88","4","0","0","F"
"10399","F","Single","0","47177","22","37","Y","81.56","81.56","3017.7200000000003","3","0","0","F"
"10400","M","Married","2","40448","51","44","N","147.28","147.28","6480.32","0","0","0","F"
"10401","M","Single","0","698333","27","30","N","49.62","49.62","1488.6","0","0","0","F"
"10402","F","Married","0","25185","47","88","N","114.67","115.24","10141.119999999999","0","10","5","T"
"10405","F","Single","0","66505","18","12","Y","69.46","69.46","833.52","2","0","0","F"
"10409","M","Married","2","26231","30","111","N","118.28","119.03","13212.33","2","0","0","F"
"1041","F","Single","1","17167","19","13","Y","107.4","107.9","1402.7","3","2","1","F"
"10410","M","Married","1","75726","37","109","N","146.67","147.21","16045.890000000001","4","0","0","F"
"10417","M","Single","0","80796","28","13","Y","189.0","190.04","2470.52","0","0","0","F"
"10420","F","Married","2","76403","48","42","N","126.2","126.66","5319.72","2","0","0","F"
"10421","M","Single","1","54297","23","56","N","47.27","47.27","2647.1200000000003","8","0","0","F"
"10425","F","Married","0","21235","42","30","N","118.16","118.56","3556.8","0","0","0","F"
"10426","F","Married","0","46187","32","14","N","89.62","89.62","1254.68","0","2","0","F"
"10428","M","Single","2","12665","23","3","Y","102.46","103.41","310.23","0","2","1","F"
"1043","M","Married","1","15900","28","12","N","117.63","122.63","1471.56","0","0","0","F"
"10430","M","Single","0","76873","26","39","N","47.47","47.47","1851.33","5","4","2","T"
"10432","M","Married","0","84843","23","55","N","146.48","147.54","8114.7","1","0","0","F"
"10434","F","Married","0","1435","35","59","N","129.06","129.1","7616.9","0","3","2","F"
"10435","F","Married","0","13408","52","39","N","173.97","175.75","6854.25","0","2","1","F"
"10436","F","Married","1","15452","42","56","N","176.28","176.44","9880.64","0","2","1","F"
"10438","F","Married","2","469488","35","104","N","158.3","158.3","16463.2","0","0","0","F"
"10439","M","Married","1","93851","37","88","N","269.1","269.1","23680.800000000003","0","2","0","F"
"1044","F","Married","0","59151","48","75","N","87.23","88.01","6600.75","1","2","1","F"
"10440","M","Single","1","40483","93","89","Y","60.54","61.41","5465.49","2","0","0","F"
"10447","F","Single","1","816302","20","6","Y","107.85","107.85","647.0999999999999","3","6","4","T"
"10448","F","Married","0","35775","33","100","N","80.96","81.52","8152.0","0","2","1","F"
"10449","M","Married","1","363","84","73","N","89.96","90.21","6585.33","0","2","1","F"
"10450","F","Single","1","20492","24","83","Y","86.27","86.27","7160.41","3","4","2","T"
"10451","F","Married","0","49791","39","81","N","146.81","147.18","11921.58","0","2","1","F"
"10452","F","Single","0","187478","19","18","Y","109.09","109.09","1963.6200000000001","2","0","0","F"
"10454","F","Married","0","23220","40","47","N","86.38","87.42","4108.74","4","2","1","F"
"10459","M","Single","0","377363","23","36","Y","168.3","168.3","6058.8","0","2","1","T"
"10463","F","Married","1","2680","36","31","N","84.48","84.48","2618.88","4","8","4","T"
"10464","F","Married","1","25160","51","91","N","87.9","87.9","7998.900000000001","0","2","1","F"
"10465","F","Single","1","25896","25","64","Y","67.2","68.17","4362.88","5","0","0","F"
"10466","M","Married","0","61856","46","34","N","172.57","174.1","5919.4","5","0","0","F"
"10467","M","Married","0","566309","43","114","N","175.74","177.29","20211.059999999998","6","5","3","T"
"1047","F","Single","1","22412","26","103","Y","106.18","106.18","10936.54","21","4","2","F"
"10472","F","Single","1","42333","26","61","Y","69.22","69.97","4268.17","1","0","0","F"
"10474","F","Single","1","269938","18","1","Y","85.95","85.95","85.95","0","0","0","F"
"1048","F","Single","1","80043","56","91","Y","102.96","104.51","9510.41","21","2","1","T"
"10482","F","Married","1","65239","23","11","N","84.29","87.05","957.55","0","2","0","F"
"10483","F","Married","2","99676","49","99","N","110.31","110.9","10979.1","0","10","5","T"
"10485","M","Single","0","36676","30","75","Y","105.01","105.73","7929.75","0","2","1","F"
"10487","F","Married","2","65719","48","96","N","88.69","89.12","8555.52","0","0","0","F"
"10488","F","Married","2","22191","33","26","N","120.3","121.21","3151.46","0","2","1","F"
"1049","M","Married","2","52296","25","94","N","143.39","143.93","13529.42","0","0","0","F"
"10490","M","Single","0","79019","18","3","Y","103.38","115.88","347.64","2","0","0","T"
"10492","F","Married","1","85283","24","63","N","172.54","173.61","10937.43","0","3","2","T"
"10497","F","Married","2","42475","49","117","N","85.55","85.7","10026.9","0","2","1","F"
"10498","F","Single","0","30799","21","15","Y","83.13","85.88","1288.1999999999998","25","0","0","T"
"10499","M","Married","1","4884","40","11","N","173.5","173.5","1908.5","0","2","1","F"
"10500","M","Single","0","33969","30","56","Y","88.72","89.04","4986.240000000001","2","2","1","F"
"10501","F","Married","1","755301","51","4","N","95.6","95.6","382.4","0","2","1","T"
"10503","M","Married","0","23773","32","111","N","126.78","126.78","14072.58","0","0","0","F"
"10506","F","Married","1","8622","34","104","N","81.3","81.3","8455.199999999999","1","2","1","F"
"10511","M","Married","2","23882","43","109","N","121.08","121.56","13250.04","2","2","1","F"
"10512","F","Married","2","4267","41","26","N","174.91","175.59","4565.34","0","2","1","F"
"10516","F","Married","1","674589","36","38","N","129.58","131.26","4987.879999999999","0","0","0","F"
"10518","M","Single","1","70863","29","22","Y","69.19","71.08","1563.76","19","3","2","T"
"10522","M","Married","0","78092","52","64","N","118.72","119.58","7653.12","0","0","0","F"
"10526","M","Single","0","72796","23","59","Y","65.84","65.84","3884.5600000000004","0","1","0","F"
"10528","M","Married","2","20538","36","98","N","199.3","201.03","19700.94","5","2","1","F"
"10529","F","Married","0","6459","28","13","N","141.64","143.15","1860.95","35","2","1","T"
"10530","M","Married","1","38847","53","7","N","89.13","89.13","623.91","0","1","0","F"
"10534","F","Married","1","91208","41","38","N","87.33","88.26","3353.88","0","0","0","F"
"10535","F","Single","1","9570","21","2","N","46.99","46.99","93.98","0","0","0","F"
"10537","F","Single","0","846037","30","107","Y","82.1","82.34","8810.380000000001","0","0","0","F"
"10538","M","Married","1","31207","34","33","N","203.1","203.1","6702.3","6","2","1","F"
"10539","F","Married","0","57275","49","7","N","128.0","128.0","896.0","0","2","1","F"
"1054","F","Married","2","98102","38","73","N","148.01","148.32","10827.359999999999","0","0","0","F"
"10540","F","Married","2","69139","25","14","N","127.47","127.47","1784.58","1","0","0","F"
"10541","M","Married","2","56362","42","12","N","119.73","124.66","1495.92","0","2","1","F"
"10545","M","Single","1","78808","24","30","N","45.25","47.06","1411.8000000000002","3","0","0","F"
"10549","F","Single","1","48765","30","90","Y","62.5","63.02","5671.8","3","0","0","F"
"10550","F","Married","0","996025","33","120","N","174.49","174.58","20949.600000000002","0","3","2","T"
"10552","F","Married","2","35573","48","77","N","85.43","86.15","6633.55","4","2","1","F"
"10554","F","Married","0","14386","29","102","N","145.34","146.9","14983.800000000001","30","0","0","T"
"10556","F","Single","0","41429","19","23","N","48.7","48.82","1122.86","1","0","0","F"
"10558","M","Single","1","77931","18","11","Y","60.19","60.47","665.17","21","2","1","T"
"1056","F","Single","1","66205","24","50","Y","93.8","94.09","4704.5","4","0","0","F"
"10561","M","Single","0","11653","25","29","Y","127.2","128.3","3720.7000000000003","6","0","0","F"
"10562","F","Single","2","48140","20","5","Y","101.94","101.94","509.7","1","0","0","F"
"10564","F","Married","0","25786","33","106","N","179.62","180.3","19111.800000000003","0","8","4","T"
"10566","F","Married","0","12623","66","46","N","89.74","90.06","4142.76","3","0","0","F"
"10575","F","Married","1","70347","48","35","N","82.34","83.05","2906.75","8","2","1","F"
"10577","M","Married","1","52037","25","83","N","110.46","110.46","9168.18","1","2","1","F"
"10580","F","Single","0","55188","20","12","Y","105.92","110.44","1325.28","3","2","1","F"
"10581","F","Married","2","68967","43","43","N","181.8","181.8","7817.400000000001","3","0","0","F"
"10583","F","Married","6","57234","50","57","N","140.17","140.17","7989.69","0","0","0","F"
"10584","F","Married","0","26187","52","100","N","171.19","172.65","17265.0","24","4","2","T"
"10586","M","Married","0","128863","50","67","N","144.0","144.92","9709.64","0","0","0","F"
"10587","M","Single","0","82441","25","37","Y","102.78","103.2","3818.4","0","6","3","F"
"10588","M","Single","0","34586","28","59","Y","87.89","88.64","5229.76","15","2","1","T"
"1059","M","Single","1","98621","20","23","Y","83.59","84.31","1939.13","0","0","0","F"
"10590","M","Married","0","25391","24","59","N","171.77","172.18","10158.62","1","10","5","T"
"10596","M","Married","0","513405","44","57","N","178.18","179.75","10245.75","7","0","0","F"
"10599","M","Single","0","37004","28","79","Y","81.72","81.86","6466.94","0","4","2","T"
"10603","F","Married","2","86770","32","82","N","128.88","129.61","10628.02","0","0","0","F"
"10608","M","Married","1","76469","40","65","N","175.1","176.07","11444.55","2","2","1","F"
"1061","F","Married","0","22284","66","35","N","87.61","89.16","3120.6","1","2","1","F"
"10610","F","Single","0","245296","22","36","N","43.99","44.12","1588.32","17","8","4","T"
"10611","M","Single","0","43917","28","65","Y","82.39","82.52","5363.8","0","0","0","F"
"10613","F","Married","1","14185","35","59","N","83.54","83.54","4928.860000000001","0","2","1","F"
"10614","M","Married","1","852136","23","26","N","145.34","145.9","3793.4","3","0","0","F"
"10616","M","Married","1","59479","25","14","N","140.19","142.12","1989.68","2","3","2","T"
"10617","M","Single","0","44626","26","81","N","44.83","44.83","3631.23","8","0","0","F"
"10620","F","Married","7","32742","35","68","N","145.16","146.09","9934.12","0","2","0","F"
"10621","M","Single","0","81438","22","32","Y","107.78","108.12","3459.84","4","2","1","T"
"10623","F","Single","1","60211","27","17","N","47.85","50.45","857.6500000000001","11","0","0","T"
"10624","F","Married","0","15582","26","76","N","87.69","88.74","6744.24","0","2","1","F"
"10625","F","Single","0","34842","21","11","Y","86.1","86.1","947.0999999999999","2","0","0","F"
"10626","M","Married","0","67050","42","17","N","129.85","132.55","2253.3500000000004","0","2","1","F"
"10629","F","Single","0","90152","30","115","Y","82.03","82.36","9471.4","10","0","0","F"
"1063","M","Married","0","71830","33","40","N","122.12","123.89","4955.6","0","0","0","F"
"10630","M","Single","0","53447","28","91","N","52.1","52.37","4765.67","11","2","1","T"
"10632","M","Married","3","87061","34","108","N","122.24","122.7","13251.6","0","0","0","F"
"10633","M","Single","1","10572","23","21","Y","101.3","101.98","2141.58","4","2","1","F"
