ID,GENDER,MARITALSTATUS,NUMCHILDREN,ESTINCOME,CAROWNER,AGE,MONTHSASCUSTOMER,LOYALTYSCHEME,LASTBILLAMOUNT,AVGMONTHLYSPEND
4481,M,Single,1,24946,Y,19,13,Y,84.46,87.42
4494,F,Single,1,31683,N,25,64,Y,100.67,100.67
4555,F,Single,0,67333,Y,30,66,Y,109.74,110.66
4595,F,Married,1,75050,Y,52,104,N,84.48,84.77
4684,M,Married,0,13668,Y,55,94,N,81.55,81.55
4700,M,Single,1,47950,Y,23,18,Y,60.58,61.69
4709,F,Married,1,1784,Y,48,101,N,174.79,175.79
4729,F,Single,0,68481,Y,22,13,Y,69.25,69.52
4757,M,Married,0,8990,Y,36,23,N,128.02,129.93
4773,M,Married,1,53419,N,46,25,N,110.7,110.7
4910,M,Married,0,49512,N,33,2,N,124.04,124.04
4963,M,Married,0,823832,Y,26,29,N,147.46,147.97
4985,F,Single,2,13055,N,23,14,Y,104.91,104.91
5012,M,Married,2,15015,N,50,57,N,170.67,172.39
5038,M,Married,0,73502,N,39,101,N,82.4,83.14
5041,F,Married,2,225893,N,23,28,N,143.29,144.69
5051,F,Single,2,550148,N,22,3,Y,119.9,119.9
5058,M,Single,0,46582,N,18,9,Y,173.3,174.42
5121,F,Married,1,202246,N,30,66,N,115.79,116.23
5125,F,Married,6,1368,Y,33,3,N,145.13,147.24
5144,M,Single,0,34492,Y,29,106,Y,103.81,104.75
5165,F,Single,1,52108,N,26,36,Y,100.74,101.02
5179,F,Single,0,11643,Y,22,52,Y,101.12,102.09
5194,M,Married,0,91792,N,32,12,N,144.94,144.94
5212,F,Married,0,48695,N,42,12,N,110.77,114.18
5213,F,Single,1,83912,Y,21,26,Y,64.09,64.86
5223,M,Single,0,18949,Y,22,28,Y,103.74,104.04
5231,F,Married,0,99486,Y,51,23,N,128.11,128.31
5232,M,Married,0,89709,Y,30,50,N,155.5,155.65
5239,M,Married,1,95768,Y,38,44,N,148.54,148.88
5282,M,Single,0,59523,Y,69,79,Y,80.5,81.27
5289,M,Single,0,80278,Y,19,13,Y,69.26,69.26
5376,F,Single,0,659471,Y,27,31,Y,100.31,101.64
5377,M,Single,0,21086,Y,21,48,Y,64.67,65.58
5388,M,Married,0,56634,Y,54,20,N,143,143
5414,F,Married,0,13666,Y,30,89,N,178.18,178.59
5468,F,Single,0,15519,N,18,4,Y,69.15,78.83
5497,M,Married,2,343978,Y,34,8,N,123.61,126.65
5508,F,Married,9,890572,N,35,92,N,126.32,126.53
5538,M,Married,0,24103,N,31,58,N,119.82,120.63
5606,F,Single,1,13926,Y,30,11,Y,67.14,67.14
5621,M,Married,4,121302,Y,35,28,N,121.19,121.63
5628,F,Single,0,55023,Y,30,55,N,40.2,40.79
5635,F,Single,0,64755,N,19,9,N,128.4,128.4
5636,M,Married,3,29061,N,50,61,N,120.53,120.93
5723,M,Single,0,70458,N,18,9,Y,109.13,109.13
5748,M,Married,1,98770,Y,33,19,N,176.29,176.76
5773,F,Single,0,72463,Y,19,13,Y,101.01,105.1
5847,F,Married,3,72966,Y,26,76,N,86.8,87.04
6040,M,Single,1,6067,Y,28,101,Y,101.48,102.72
6077,M,Married,2,86984,Y,27,40,N,111.18,111.18
6148,M,Single,0,82544,Y,27,63,Y,67.5,67.77
6175,M,Married,0,85207,Y,31,120,N,82.39,82.92
6185,F,Single,0,420461,N,23,36,Y,62.99,63.49
6190,F,Married,0,8397,Y,40,61,N,89.91,90.5
6191,F,Married,4,95731,Y,43,25,N,85.36,86.73
6242,F,Married,0,20504,Y,48,3,N,87.3,104.38
6261,M,Single,1,784145,Y,25,53,N,82.2,82.2
6324,F,Married,0,12378,N,32,5,N,170.44,170.44
6362,F,Single,2,60407,N,19,15,Y,91.1,91.41
6364,M,Single,2,548365,Y,27,85,Y,66.32,67.03
6423,M,Married,0,89575,Y,49,3,N,171.12,171.12
6441,F,Single,0,29133,Y,24,59,Y,69.91,70.15
6536,F,Married,0,609720,Y,37,78,N,129.56,130.61
6559,F,Single,0,29451,N,28,115,Y,80.15,80.15
6584,M,Single,1,131042,Y,29,118,N,49.19,49.46
6613,M,Single,1,7052,N,30,23,Y,106.02,107.68
6694,F,Single,1,24937,N,25,45,Y,61.82,61.82
6718,M,Single,0,74186,N,26,93,Y,102.1,102.69
6730,M,Married,2,82717,Y,49,2,N,114.88,114.88
6731,M,Single,0,51487,N,29,115,N,41.05,41.23
6810,M,Married,1,57499,N,27,92,N,149.6,150.01
6817,M,Single,0,48966,Y,22,12,Y,131.9,132.38
6833,F,Married,2,3689,Y,36,8,N,149.16,156.19
6849,M,Single,1,10274,Y,18,10,Y,62.75,65.33
6902,F,Single,0,7013,Y,30,44,Y,88.78,89.49
6918,F,Married,1,94347,Y,27,37,N,117.76,118.91
6928,F,Single,0,57988,N,18,9,Y,101.32,106.12
6950,F,Married,0,57254,Y,80,38,N,118.43,118.43
6952,F,Single,2,377,Y,18,12,Y,66.06,66.06
6988,M,Married,0,16813,Y,39,3,N,121.04,123.94
7035,F,Single,0,61741,Y,22,49,N,44.3,44.3
7041,M,Single,0,11671,Y,26,67,Y,109.37,110.35
7062,M,Married,0,10299,N,23,31,N,128.68,129.1
7075,M,Married,0,29624,Y,41,72,N,145.93,146.54
7088,M,Single,0,80338,N,22,2,Y,64.41,64.41
7173,F,Single,0,10043,Y,28,18,Y,67.68,67.87
7195,F,Single,0,155893,Y,29,80,Y,131.9,131.9
7345,M,Single,0,7090,N,25,50,Y,65.2,65.73
7365,M,Single,2,52188,Y,20,16,N,42.99,43.49
7366,M,Married,0,36042,Y,41,31,N,81.02,82.7
7408,M,Married,9,17021,Y,34,119,N,112.12,112.21
7479,F,Single,0,93481,N,21,35,Y,87.99,89.28
7490,F,Married,0,79511,N,30,18,N,120.89,123.64
7497,M,Married,0,14058,Y,37,92,N,140.67,141.21
7505,M,Single,1,13141,Y,20,8,Y,80.82,80.82
7524,F,Single,0,12971,N,29,90,Y,67.85,68.12
7632,F,Single,0,486974,N,29,11,Y,69.44,73.59
7658,F,Married,0,69031,Y,34,31,N,167.7,167.7
7659,M,Married,0,38225,Y,54,22,N,171.7,171.7
7713,M,Single,8,72097,Y,28,2,N,49.69,49.69
7762,F,Single,1,46794,N,27,18,Y,151.3,152.87
7768,M,Single,0,16411,N,19,20,N,44.87,46.68
7814,M,Married,0,24084,Y,23,37,N,206.4,207.68
7833,F,Single,1,74389,Y,25,80,Y,105.31,105.71
7838,F,Single,1,158602,Y,22,41,Y,106.3,106.3
7998,F,Married,2,60954,N,51,4,N,178.04,178.04
8023,F,Single,0,48577,N,25,87,N,48.68,49.28
8032,M,Married,2,77819,Y,50,94,N,91.9,93.14
8038,M,Married,0,31033,Y,50,115,N,118.24,119.03
8065,F,Married,2,542,N,47,76,N,120.33,121.05
8066,F,Single,0,30921,Y,25,14,Y,84.56,85.17
8085,M,Married,1,82875,N,54,62,N,142.4,142.86
8215,F,Single,2,75930,Y,21,34,Y,106.63,106.95
8219,M,Single,1,19524,N,18,7,Y,83.36,83.36
8229,M,Single,0,644828,Y,23,19,N,42.72,42.72
8250,F,Married,0,81174,Y,31,92,N,171.32,171.78
8269,M,Single,1,48019,Y,19,14,Y,109.13,112.59
8281,F,Single,0,545211,N,27,119,N,44.71,45.11
8288,M,Single,2,79810,Y,20,21,Y,113.3,115.44
8301,F,Single,2,32114,Y,25,37,N,43.67,44.76
8336,M,Married,0,83512,Y,45,15,N,124,124
8453,F,Single,0,40311,Y,25,67,Y,62.65,62.84
8476,M,Married,0,36605,Y,23,37,N,110.1,110.55
8477,F,Married,1,25732,Y,37,118,N,82.89,83
8488,M,Single,0,20581,N,18,12,N,48.77,53.66
8490,F,Single,0,8729,N,22,58,Y,109.87,109.87
8509,F,Single,0,15635,Y,28,44,N,46.78,47.42
8512,F,Married,2,610,Y,45,24,N,122.63,122.89
8536,F,Single,0,64479,Y,25,40,N,44.42,44.42
8550,M,Married,0,87133,N,47,4,N,142.21,147.99
8564,F,Single,0,16108,Y,27,27,N,118.8,119.29
8575,M,Married,0,48058,Y,53,60,N,110.08,110.78
8589,F,Married,0,75228,N,27,70,N,81.89,81.89
8645,M,Single,0,63140,Y,19,15,N,44.43,44.58
8662,M,Single,0,7681,Y,21,20,Y,85.02,85.02
8737,M,Single,2,90060,Y,19,22,N,48.91,49.66
8745,F,Married,0,125399,N,38,2,N,129.79,129.79
8837,F,Single,0,66557,Y,19,8,Y,69.49,69.49
8878,M,Married,2,97787,Y,45,72,N,117.18,117.73
8947,M,Married,1,682329,N,52,13,N,141.15,141.15
9005,F,Single,0,49702,Y,18,9,N,44.56,48.09
9033,M,Married,1,8748,Y,40,62,N,88.91,90.14
9088,M,Married,0,38516,Y,75,107,N,84.95,85.71
9092,F,Married,1,37682,Y,46,54,N,118.33,118.97
9120,N,Single,0,63748,Y,21,22,Y,63.81,64.19
9127,M,Single,0,599899,N,27,24,Y,101.16,102.36
9142,F,Single,0,8679,Y,20,28,N,42.98,44.75
9274,M,Single,1,83571,N,21,12,N,49.52,49.52
9285,F,Married,0,205333,Y,51,11,N,89.2,89.61
9316,M,Single,0,53873,Y,25,6,Y,85.9,94.7
9334,M,Married,0,47955,Y,63,37,N,83.02,83.7
9354,F,Married,1,681786,Y,45,6,N,201.5,201.5
9391,F,Married,0,50129,Y,53,64,N,148.79,149.38
9412,F,Single,1,8339,Y,22,32,N,41.39,42.49
9415,F,Married,0,98796,N,33,57,N,126.08,126.53
9425,M,Married,0,69205,Y,36,19,N,145.79,148.3
9428,F,Single,0,18665,Y,29,63,Y,80.6,80.92
9447,F,Single,0,12949,N,22,32,Y,65.98,67.12
9472,F,Married,1,93645,N,25,24,N,81.21,81.38
9583,F,Married,0,16776,Y,51,13,N,84.29,86.78
9602,F,Married,0,86636,N,63,49,N,174.99,175.53
9617,F,Single,0,90796,Y,25,6,Y,181.8,183.48
9620,F,Single,0,38201,Y,21,17,N,45.57,45.71
9627,F,Married,0,47838,N,50,110,N,85.47,85.71
9639,F,Single,0,3919,Y,26,48,Y,62.57,62.72
9662,F,Single,0,46259,Y,47,2,N,48.57,48.57
9706,M,Single,0,99001,Y,30,65,Y,64.3,65.32
9713,F,Married,0,25539,Y,30,18,N,154,156.08
9742,M,Single,0,159592,N,23,15,Y,85.94,85.94
9775,M,Married,1,72772,Y,53,74,N,170.02,170.6
9785,M,Single,2,47732,Y,19,3,Y,61.66,61.66
9813,F,Married,0,385602,N,25,81,N,171.15,171.15
9866,M,Married,0,5994,Y,72,38,N,142.81,143.38
9867,F,Single,0,40524,N,30,39,Y,87.34,87.57
9876,F,Married,0,68197,N,27,78,N,147.01,147.88
9882,M,Married,0,452,Y,54,103,N,111.31,111.31
9936,F,Married,0,572139,N,51,24,N,149.2,150.45
9943,F,Single,0,33137,N,20,4,Y,162.1,170.95
9977,F,Single,0,45724,Y,28,41,Y,162.4,162.4
9986,F,Married,3,70621,N,40,28,N,85.92,85.92
9992,M,Single,0,214954,Y,24,30,Y,65.43,65.43
9993,F,Married,0,14088,Y,57,81,N,86.33,87.08
10002,M,Single,0,56487,Y,19,19,Y,106.61,106.9
10004,F,Married,0,48956,Y,64,4,N,150.5,150.5
10024,M,Single,0,50970,Y,23,27,Y,104.57,104.57
10093,F,Single,1,60885,Y,22,7,Y,107.91,116.32
10111,M,Married,0,71755,Y,51,107,N,88.14,88.14
10149,F,Married,0,3110,Y,52,64,N,143.11,143.67
10242,F,Married,0,17020,Y,37,89,N,127.86,127.86
10261,M,Single,1,920054,N,22,19,Y,87.73,90.62
1027,M,Single,3,15051,N,48,85,Y,64.61,64.92
10309,M,Married,0,95372,Y,36,4,N,88.06,94.29
10325,F,Married,2,93286,N,31,59,N,116.66,117.06
10328,F,Married,0,10161,Y,24,81,N,83.26,84.05
10334,M,Single,1,55517,Y,27,119,Y,110.2,110.67
10339,M,Married,2,27748,Y,51,21,N,144.87,145.91
10359,F,Single,1,79886,Y,20,4,Y,105.22,105.22
10447,F,Single,1,816302,Y,20,6,Y,107.85,107.85
10459,M,Single,0,377363,Y,23,36,Y,168.3,168.3
10466,M,Married,0,61856,N,46,34,N,172.57,174.1
10482,F,Married,1,65239,Y,23,11,N,84.29,87.05
10500,M,Single,0,33969,Y,30,56,Y,88.72,89.04
10526,M,Single,0,72796,Y,23,59,Y,65.84,65.84
10537,F,Single,0,846037,Y,30,107,Y,82.1,82.34
10634,F,Single,0,13703,Y,23,28,Y,89.43,89.75
10636,F,Single,2,941517,N,29,88,Y,65.87,65.87
10667,M,Married,1,545104,N,30,116,N,110.89,111.57
10682,F,Single,8,66164,Y,27,70,Y,69.79,70.16
10734,F,Married,0,92350,Y,25,54,N,146.96,147.51
10743,M,Married,0,51479,N,23,70,N,189,189.27
10826,F,Single,0,87904,Y,19,10,Y,107.97,107.97
10828,M,Married,2,48224,N,31,74,N,125.23,125.71
10836,M,Married,0,44214,Y,55,81,N,174.64,174.64
10844,F,Single,0,49069,N,27,93,Y,62.92,63.78
10921,M,Single,1,17866,Y,23,30,Y,103.9,103.9
10960,M,Married,1,7797,N,28,90,N,140.18,140.18
10985,F,Married,0,42959,Y,49,32,N,179.79,179.79
11010,F,Single,1,72261,Y,27,41,N,45.33,45.33
11018,F,Single,0,81554,Y,23,27,Y,87,87.33
11040,M,Married,2,132353,Y,32,77,N,149.81,149.81
11094,M,Married,0,35012,Y,28,89,N,111.61,112.5
11143,M,Married,7,23646,N,25,30,N,88.57,89.02
11149,F,Married,1,83777,Y,28,62,N,85.78,86.71
11159,M,Married,2,94613,N,43,90,N,83.54,83.87
11181,M,Married,2,40177,Y,34,90,N,177,178.58
11205,M,Single,0,39831,Y,30,114,N,49.28,49.74
11280,M,Single,0,31638,N,22,19,Y,85.23,85.23
11340,M,Married,1,13635,N,38,76,N,88.89,89.73
11342,F,Single,0,97946,Y,28,11,Y,86.97,86.97
11385,M,Single,0,75652,Y,20,14,Y,66.59,66.59
11420,M,Single,0,41184,N,18,6,Y,104.43,104.43
11435,M,Single,1,571801,Y,29,88,Y,84.11,84.11
11441,F,Single,1,80517,Y,45,13,N,40.06,44.1
11466,M,Married,0,68527,N,24,58,N,111.55,111.94
11468,F,Married,2,23419,Y,41,114,N,146.96,148.02
1147,F,Married,0,29105,Y,85,113,N,87.27,87.27
11494,M,Married,2,784242,Y,26,94,N,177.88,178.55
11518,F,Married,0,76660,Y,34,52,N,81.93,82.74
1152,F,Single,1,99477,N,21,9,Y,89.57,90.96
11552,M,Single,2,65577,Y,25,9,Y,85.91,85.91
11594,F,Single,0,84409,Y,61,55,Y,102.45,102.96
11609,F,Married,0,81374,N,29,90,N,178,178.85
11654,F,Single,1,4314,Y,22,44,Y,87.28,87.28
11681,M,Married,1,786363,N,69,36,N,117.98,118.97
11718,F,Married,0,77373,N,32,88,N,122.54,122.61
11754,F,Married,7,86974,N,49,48,N,127.31,128.05
11780,M,Single,2,55301,Y,18,3,Y,104.02,104.02
11787,M,Married,0,32776,N,30,48,N,178.01,178.77
11789,F,Single,0,35234,Y,23,66,Y,108.57,109.87
11819,F,Single,0,66799,Y,24,27,Y,164.5,166.48
1186,F,Married,1,91228,Y,31,68,N,87.6,88.31
11861,F,Single,0,76302,N,30,43,Y,62.55,64.29
11876,M,Single,0,19147,Y,27,62,N,44.03,44.61
11889,M,Single,0,38541,Y,25,10,Y,65.65,67.41
11920,M,Single,0,79015,Y,20,16,Y,107.77,108.11
11921,M,Married,2,11119,Y,25,86,N,146.76,148.04
11952,F,Married,1,30697,N,46,69,N,122.33,122.4
11975,F,Married,1,55464,Y,26,18,N,177.9,179.39
11978,M,Married,2,44891,Y,23,19,N,112.47,114.65
11999,M,Married,1,34374,Y,43,111,N,178.66,179.54
1210,M,Married,0,50073,Y,26,87,N,149.82,150.05
1252,M,Single,1,70257,Y,22,32,Y,108.72,108.72
1347,M,Married,0,70803,N,47,81,N,133,133.5
1378,M,Single,1,28626,Y,18,2,N,45.18,45.18
1394,F,Single,1,43258,Y,19,10,Y,89.94,89.94
1395,M,Single,0,13464,Y,27,86,N,43.44,44.12
1498,F,Married,0,752492,Y,48,87,N,116.64,117.05
1527,M,Single,0,63845,N,30,11,Y,60.11,60.11
1558,M,Married,0,82964,N,40,5,N,129.07,129.07
1669,F,Single,0,35952,N,19,18,Y,63.26,66.28
1690,M,Married,0,79787,Y,35,44,N,119.89,119.89
1762,F,Single,1,87098,N,23,40,Y,120.7,120.7
1770,F,Married,1,4100,N,26,33,N,87.7,88.9
1776,F,Single,0,88328,Y,21,9,N,87,89.23
1827,M,Married,2,68481,N,26,28,N,120.81,123.45
1859,M,Single,0,76868,N,23,39,Y,104.78,105.19
1871,M,Married,3,69743,Y,32,67,N,119.8,120.32
1904,M,Single,1,9937,N,27,75,N,84,84.45
1918,F,Single,0,80133,N,18,8,Y,87.09,87.42
1929,M,Married,2,327575,Y,49,39,N,86.66,86.66
1944,F,Married,5,52497,Y,50,63,N,111.73,111.73
1966,M,Single,2,19409,N,28,65,N,40.89,40.89
1981,M,Single,0,87938,Y,18,4,Y,107.66,107.66
1996,F,Married,1,59363,Y,45,57,N,175.49,175.49
2048,M,Married,1,916613,Y,35,113,N,173.16,173.86
2132,F,Single,1,59968,N,22,37,N,48.05,48.18
2217,F,Married,6,38913,N,46,5,N,144.35,153.51
2267,F,Single,1,805732,Y,26,60,Y,81.19,81.4
2462,M,Married,1,482350,N,31,43,N,127.37,127.5
2494,F,Single,1,98337,N,30,15,Y,68.13,69.2
2501,M,Single,0,47226,Y,28,44,Y,169.3,170.63
